,person 1,person 2,team,# connections
2070,#17 Alexandra Tutuian,#7 Noah Burkart,SUI Mixed,1
2357,#22 ANRI HOSOTANI,#23 MOMOKA KASAHARA,JPN Mixed,1
2068,#23 James Joseph Granelli,#26 Eliza Camille Stewart,RSA Mixed,1
2067,#13 Smilla Diener,#77 Rahel Rindlisbacher,SUI Mixed,1
2358,#2 TETTA HAMADA,#24 HARUNA OKAMOTO,JPN Mixed,1
2359,#14 Lyndall Lucy Voss-Price,#71 Jason Darren Garde,RSA Mixed,1
2065,#1 Pieter Conradie,#8 Langa Nindie,RSA Mixed,1
2360,#23 MOMOKA KASAHARA,#24 HARUNA OKAMOTO,JPN Mixed,1
2361,#10 Siyabonga Mhlongo,#23 James Joseph Granelli,RSA Mixed,1
2063,#21 Carl Christensen,#71 Paul Ellsiepen,GER Mixed,1
2038,#2 YUYAN WANG,#89 ENXIANG YAN,CHN Mixed,1
2376,#1 Natasha Langsdon,#72 Elizabeth Chen,AUS Mixed,1
2037,#34 Gustav Arnold,#42 Tristan Bücker,GER Mixed,1
2035,#32 Felix Becht,#97 Marta Orzechowski,GER Mixed,1
2017,#42 Tristan Bücker,#59 Jonas Czwienzek,GER Mixed,1
2397,#24 Okko Winqwist,#30 Tinka Gylling,FIN Mixed,1
2398,#17 Teemu Ropo,#3 Elina Roiha,FIN Mixed,1
2399,#23 Saku Vintola,#31 Kivi Knuuti,FIN Mixed,1
2012,#11 Johannes Hokkanen,#18 Emmastiina Salmela,FIN Mixed,1
2010,#15 Aino Weckman,#24 Okko Winqwist,FIN Mixed,1
2009,#17 Teemu Ropo,#6 Ella Toivola,FIN Mixed,1
2400,#19 YI-HAN LIEN,#2 KUAN-LUN LIN,TPE Mixed,1
2008,#20 Hazel Broadley,#37 Lewis Goldby,NZL Mixed,1
2007,#30 Tinka Gylling,#54 Teemu Virtanen,FIN Mixed,1
2006,#0 Kent Willcock,#8 Jackson Zhou,NZL Mixed,1
2403,#34 Henry Ing,#38 Abigail Shilts,USA Mixed,1
2404,#24 Jacob Cowan,#33 Ellen Cubrilovic,USA Mixed,1
2405,#24 CHENG-WEI YOU,#71 CHUN-YI WU,TPE Mixed,1
2005,#15 Aino Weckman,#36 Maria Noponen,FIN Mixed,1
2004,#37 Lewis Goldby,#8 Jackson Zhou,NZL Mixed,1
2002,#3 Rebecca Farr,#31 Lucas Willcock,NZL Mixed,1
2001,#0 Kent Willcock,#1 Jayden Frost,NZL Mixed,1
2407,#10 Nicole Chan,#5 Aidan Downey,USA Mixed,1
2408,#57 HIROTO MATSUHASHI,#72 MANA OYA,JPN Mixed,1
2409,#23 MOMOKA KASAHARA,#70 NAO KOSHIISHI,JPN Mixed,1
2018,#45 Moritz Hinkel,#72 Julien Libiszewski,SUI Mixed,1
2396,#24 Okko Winqwist,#3 Elina Roiha,FIN Mixed,1
2019,#4 Juri Winter,#97 Marta Orzechowski,GER Mixed,1
2026,#19 Lilli Heßling,#42 Tristan Bücker,GER Mixed,1
2380,#46 Lisa Ringgenberg,#55 Luis Siegenthaler,SUI Mixed,1
2033,#13 Juliane Müller,#48 Anton Schumann,GER Mixed,1
2381,#19 Vendela Viktorsson,#70 Ludwig Jorman Bergholm,SWE Mixed,1
2382,#1 Ralph Daucourt,#59 Timon Eggenberg,SUI Mixed,1
2384,#11 Michelle Mühlebach,#20 Simea Münger,SUI Mixed,1
2030,#4 Juri Winter,#71 Paul Ellsiepen,GER Mixed,1
2029,#11 Michelle Mühlebach,#77 Rahel Rindlisbacher,SUI Mixed,1
2028,#16 Luis Bysäth,#72 Julien Libiszewski,SUI Mixed,1
2385,#17 Alexandra Tutuian,#45 Moritz Hinkel,SUI Mixed,1
2388,#17 Alexandra Tutuian,#25 Louis Brunner,SUI Mixed,1
2020,#1 Ralph Daucourt,#3 Zara  Glauser,SUI Mixed,1
2025,#46 Lisa Ringgenberg,#9 Hanna Lenggenhager,SUI Mixed,1
2389,#3 Zara  Glauser,#46 Lisa Ringgenberg,SUI Mixed,1
2390,#70 Ludwig Jorman Bergholm,#8 Otto Edgren,SWE Mixed,1
2391,#37 Herman Engström,#71 Adam Blomgren,SWE Mixed,1
2392,#11 Johannes Hokkanen,#21 Sanja Fonselius,FIN Mixed,1
2393,#11 Johannes Hokkanen,#24 Okko Winqwist,FIN Mixed,1
2023,#68 Colin Rauch,#81 Malwine Lühder,GER Mixed,1
2022,#7 Noah Burkart,#72 Julien Libiszewski,SUI Mixed,1
2021,#18 Martin Fähndrich,#59 Timon Eggenberg,SUI Mixed,1
1704,#21 Theresa Yu,#24 Kira Flores,USA Women's,1
1352,#17 Franziska Balzer,#21 Carl Christensen,GER Mixed,1
1702,#1 Chloe Hakimi,#18 Clil Phillips,USA Women's,1
636,#24 Jacques Nissen,#81 Calvin Brown,USA Open,1
632,#17 Myles Vinh Farr,#26 Andrew Sweetnam,GBR Open,1
629,#10 Rhodri Williams,#11 Jaime Hammond,GBR Open,1
56,#13 Hannah Huddleston,#72 Ezra Weybright,USA Women's,1
627,#10 Rhodri Williams,#80 Toby Nichols,GBR Open,1
625,#5 Itay Chang,#99 Turner Allen,USA Open,1
621,#8 Daniel Landesman,Callahan-goal,USA Open,1
618,#22 Johnny Sickles,#32 Albert Yuan,USA Open,1
617,#11 Calvin Stoughton,#33 Nathan Buchholz,USA Open,1
614,#10 Benjamin Dameron,#8 Daniel Landesman,USA Open,1
613,#25 Benjamin Schlechter,#29 Nis-Julius Sontag,GER Open,1
611,#69 Wieland Freimark,#77 Paul Herkens,GER Open,1
609,#19 Tobias Maierhofer,#9 Bela Luksch,GER Open,1
604,#33 Nathan Buchholz,#47 Leo Gordon,USA Open,1
599,#47 Leo Gordon,#73 Frederick Farah,USA Open,1
598,#15 Rutledge Smith,#21 Josh Singleton,USA Open,1
597,#77 Sebastian Höfinger,#89 Elias Haider,AUT Open,1
595,#15 Fritz Holzner,#7 Erik Allmer,AUT Open,1
593,#3 Francisco Fernandez,#6 Lucas Coniaris,USA Open,1
57,#7 Abigail Hecko,#77 Emma Williamson,USA Women's,1
589,#33 Nathan Buchholz,#73 Frederick Farah,USA Open,1
587,#21 Josh Singleton,#7 Felix Moren,USA Open,1
586,#24 Ethan Kok Kuan Mun,#25 Mohamed Haziq Bin Mohamed Saleem,SGP Open,1
585,#25 Mohamed Haziq Bin Mohamed Saleem,#7 Andrew Yap Haan Yang,SGP Open,1
584,#15 Rutledge Smith,#81 Calvin Brown,USA Open,1
582,#18 Adam Miller,#73 Frederick Farah,USA Open,1
635,#27 Kenrick Koo,#5 Itay Chang,USA Open,1
638,#27 Kenrick Koo,#99 Turner Allen,USA Open,1
578,#22 Johnny Sickles,#44 Scott Heyman,USA Open,1
639,#3 Francisco Fernandez,#32 Albert Yuan,USA Open,1
681,#55 Benjamin Gaudernak,#91 Jakob Mitsche,AUT Open,1
680,#7 Martin Giuliani,#9 Nicolò Bellofiore,ITA Open,1
679,#10 Riccardo Corazza,#22 Lorenzo Turci,ITA Open,1
677,#10 Riccardo Corazza,#15 Matteo Paradisi,ITA Open,1
54,#12 Stephanie Phillips,#15 Layne Dodge,USA Women's,1
673,#11 Ji Ern Chee,#28 Joshua Ong Rong Xin,SGP Open,1
